Code,Product label,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023,Exported value in 2024,"average"
'70,Glass and glassware,7888,7607,2647,3244,4004,5078
'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",3038699,149767,261516,888381,557588,979190.2
'72,Iron and steel,6308,10218,174,420,6228,4669.6
'73,Articles of iron or steel,45759,74628,87247,95565,164031,93446
'74,Copper and articles thereof,57574,83161,68588,92168,151642,90626.6
'75,Nickel and articles thereof,0,0,0,312,515,165.4
'76,Aluminium and articles thereof,43548,68656,71980,87338,116771,77658.6
'78,Lead and articles thereof,1132,11487,25961,45842,39910,24866.4
'79,Zinc and articles thereof,3,222,83,609,1403,464
'80,Tin and articles thereof,0,265,10,7,5,57.4
'81,Other base metals; cermets; articles thereof,0,0,0,0,98,19.6
'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",663,2262,2015,2829,9659,3485.6
'83,Miscellaneous articles of base metal,11465,14261,29564,25231,40973,24298.8
'84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",170110,204083,205568,183191,219627,196515.8
'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",762091,1081099,1998196,3129907,1880291,1770316.8
'86,"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...",20,139,93,4,28,56.8
'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",559403,689977,1030100,561983,519137,672120
'88,"Aircraft, spacecraft, and parts thereof",15,97,338,7274,6730,2890.8
'89,"Ships, boats and floating structures",2805,10665,4660,6608,1055,5158.6
'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",6295,8787,10125,15052,17813,11614.4
'91,Clocks and watches and parts thereof,6867,9760,10016,5841,6061,7709
'92,Musical instruments; parts and accessories of such articles,217,220,610,14,8,213.8
'93,Arms and ammunition; parts and accessories thereof,0,0,77,185,174,87.2
'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",638376,872563,948258,889624,1169542,903672.6
'95,"Toys, games and sports requisites; parts and accessories thereof",67160,79297,107563,153095,339254,149273.8
'96,Miscellaneous manufactured articles,19259,20757,41684,38236,61042,36195.6
'97,"Works of art, collectors' pieces and antiques",271,86,40,17,216,126
'99,Commodities not elsewhere specified,1688,1588,1388,1479,1847,1598
