Code,Product label,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024,"average"
'70,Glass and glassware,6564,7151,7316,5161,5122,6262.8
'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",2666,10856,8841,5400,4556,6463.8
'72,Iron and steel,26472,50054,69090,92946,29746,53661.6
'73,Articles of iron or steel,347025,134895,135990,122325,128929,173832.8
'74,Copper and articles thereof,6985,9098,6038,7083,7169,7274.6
'75,Nickel and articles thereof,402,1021,368,623,482,579.2
'76,Aluminium and articles thereof,12077,15316,18090,14229,12367,14415.8
'78,Lead and articles thereof,170,57,51,63,39,76
'79,Zinc and articles thereof,438,182,425,328,166,307.8
'80,Tin and articles thereof,27,16,9,13,7,14.4
'81,Other base metals; cermets; articles thereof,78,28,80,107,50,68.6
'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",21542,12488,20228,15858,8052,15633.6
'83,Miscellaneous articles of base metal,9103,8810,6405,6251,5503,7214.4
'84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",762984,472862,426564,419196,417939,499909
'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",264170,214195,198354,183631,159834,204036.8
'86,"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...",2642,19945,4573,1724,4798,6736.4
'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",320867,268442,227573,214439,83822,223028.6
'88,"Aircraft, spacecraft, and parts thereof",60644,45472,145897,70740,62321,77014.8
'89,"Ships, boats and floating structures",2110,41126,2147,2780,12473,12127.2
'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",90254,83740,81593,81699,95567,86570.6
'91,Clocks and watches and parts thereof,7433,8984,9995,12200,10633,9849
'92,Musical instruments; parts and accessories of such articles,525,2559,590,592,283,909.8
'93,Arms and ammunition; parts and accessories thereof,0,0,0,0,0,0
'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",49505,46523,41356,35611,31190,40837
'95,"Toys, games and sports requisites; parts and accessories thereof",14518,24379,19548,16394,12521,17472
'96,Miscellaneous manufactured articles,24392,22285,18174,17753,14441,19409
'97,"Works of art, collectors' pieces and antiques",88,139,392,227,299,229
'99,Commodities not elsewhere specified,1114,2044,6821,8138,170741,37771.6
