Code,Product label,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024,average
'64,"Footwear, gaiters and the like; parts of such articles",1131940,1215852,1576632,1221854,2643367,1557929
'65,Headgear and parts thereof,51685,52262,69368,48777,128927,70203.8
'66,"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof",10279,8510,13745,12324,66974,22366.4
'67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ...,50425,74853,111449,61342,143607,88335.2
'68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",618495,683695,843947,722440,1148145,803344.4
'69,Ceramic products,399292,442020,467665,395626,1268249,594570.4
'70,Glass and glassware,1495945,1561311,1696714,1708551,1634497,1619403.6
'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",557776,870986,1134885,760838,2195838,1104064.6
'72,Iron and steel,9900341,14744151,14329114,12426086,14061802,13092298.8
'73,Articles of iron or steel,4523693,5262037,5401674,5342442,5001841,5106337.4
'74,Copper and articles thereof,3028056,4241828,4225587,3883152,4048240,3885372.6
'75,Nickel and articles thereof,116358,135821,163466,150699,96164,132501.6
'76,Aluminium and articles thereof,3245068,4375922,5494522,4859293,4571054,4509171.8
'78,Lead and articles thereof,481551,470949,543012,416328,647916,511951.2
'79,Zinc and articles thereof,490318,749720,727820,580118,792569,668109
'80,Tin and articles thereof,112305,138926,164536,125057,116909,131546.6
'81,Other base metals; cermets; articles thereof,83890,141920,206116,350477,139892,184459
'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",663071,715484,818781,770763,1130080,819635.8
'83,Miscellaneous articles of base metal,1087078,1337990,1402473,1234772,1921561,1396774.8
'84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",21572055,24114520,25650607,23299121,34367198,25800700.2
'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",95444217,118140894,122722680,112715384,139428725,117690380
'86,"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...",39537,117175,55111,22872,44444,55827.8
'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",5319151,7443592,8139094,5946554,8839690,7137616.2
