Code,Product label,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024,"average"
'68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",70038,74118,69443,74410,92840,76169.8
'69,Ceramic products,179960,179460,200233,229733,242020,206281.2
'70,Glass and glassware,63322,68904,132970,205764,161987,126589.4
'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",1085256,5992912,4667470,379285,229795,2470943.6
'72,Iron and steel,313562,292339,359819,372467,631634,393964.2
'73,Articles of iron or steel,397763,565379,608558,529054,780330,576216.8
'74,Copper and articles thereof,85284,151989,140004,142875,276175,159265.4
'75,Nickel and articles thereof,423,54,120,171,204,194.4
'76,Aluminium and articles thereof,394988,535631,780324,615172,787033,622629.6
'78,Lead and articles thereof,1121,619,880,6007,1373,2000
'79,Zinc and articles thereof,1942,3272,2190,6591,10261,4851.2
'80,Tin and articles thereof,1101,2662,4193,2617,4259,2966.4
'81,Other base metals; cermets; articles thereof,3180,3051,2806,1866,665,2313.6
'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",32190,27493,26710,29523,39281,31039.4
'83,Miscellaneous articles of base metal,150144,247337,299656,290169,385641,274589.4
'84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",1224419,1380282,1468719,1306606,1732792,1422563.6
'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",1183125,1190692,1464363,1576626,1950754,1473112
'86,"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...",1932,1786,38743,2620,3798,9775.8
'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",1704977,1967207,2374503,1338509,1717321,1820503.4
'88,"Aircraft, spacecraft, and parts thereof",13212,8291,7750,7936,8209,9079.6
'89,"Ships, boats and floating structures",28265,12865,5240,20992,36578,20788
'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",109027,131095,143926,165519,144692,138851.8
'91,Clocks and watches and parts thereof,3128,3555,4244,2157,2966,3210
'92,Musical instruments; parts and accessories of such articles,363,338,633,315,357,401.2
'93,Arms and ammunition; parts and accessories thereof,11715,141000,6159,1100,2215,32437.8
'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",147871,137031,172891,213443,232582,180763.6
'95,"Toys, games and sports requisites; parts and accessories thereof",69176,50615,48745,76662,89843,67008.2
'96,Miscellaneous manufactured articles,205903,270437,272751,274201,328182,270294.8
'97,"Works of art, collectors' pieces and antiques",2147,1903,4674,5801,22734,7451.8
'99,Commodities not elsewhere specified,1113,8989,3881,1497,2306,3557.2
