Code,Product label,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024,average
'66,"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof",14292,15238,18511,22264,24947,19050.4
'67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ...,16522,17196,22870,23483,26649,21344
'68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",321991,365818,389806,394696,421748,378811.8
'69,Ceramic products,638723,781130,768619,759850,746312,738926.8
'70,Glass and glassware,954933,1130234,1113544,1238417,1184966,1124418.8
'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",8079318,12478071,16892857,13582899,21585830,14523795
'72,Iron and steel,9345539,15309210,14552166,12123645,11185245,12503161
'73,Articles of iron or steel,5961480,7342423,7928216,7858799,8559044,7529992.4
'74,Copper and articles thereof,3881791,6341003,6182630,5254879,5798456,5491751.8
'75,Nickel and articles thereof,70669,100107,125604,117058,125873,107862.2
'76,Aluminium and articles thereof,3261836,5131779,5745021,4604463,5671151,4882850
'78,Lead and articles thereof,189907,204675,177101,160208,181044,182587
'79,Zinc and articles thereof,353130,543538,661470,467649,512282,507613.8
'80,Tin and articles thereof,85075,62169,83344,141287,156233,105621.6
'81,Other base metals; cermets; articles thereof,73382,124859,153526,144862,228601,145046
'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",951115,1142574,1076211,961793,979742,1022287
'83,Miscellaneous articles of base metal,630021,795792,866328,793184,881841,793433.2
'84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",25966779,30051930,29280605,31034871,36363443,30539525.6
'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",43442591,53072826,57780915,58976988,65615859,55777835.8
'86,"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...",471622,260613,359730,205320,87272,276911.4
'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",9526671,10238407,11209743,14805278,10864117,11328843.2
'88,"Aircraft, spacecraft, and parts thereof",1108471,1201189,1447081,2104876,2839555,1740234.4
'89,"Ships, boats and floating structures",652117,1423326,1332534,1508869,2510278,1485424.8
'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",5450317,6327758,6391019,6668972,6908101,6349233.4
'91,Clocks and watches and parts thereof,580083,713371,862014,1034210,903925,818720.6
'92,Musical instruments; parts and accessories of such articles,47205,46184,48152,53256,49681,48895.6
'93,Arms and ammunition; parts and accessories thereof,443609,166012,346902,322386,79890,271759.8
'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",1174900,1490354,1542562,1547227,1698420,1490692.6
'95,"Toys, games and sports requisites; parts and accessories thereof",360785,416129,366923,414114,509537,413497.6
'96,Miscellaneous manufactured articles,402745,436772,486093,491966,570121,477539.4
'97,"Works of art, collectors' pieces and antiques",8216,7803,11860,32184,84445,28901.6
'99,Commodities not elsewhere specified,0,0,0,0,0,0
