Code,Product label,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023,Exported value in 2024,
'72,Iron and steel,3094,13594,7179,1430,278,5115
'73,Articles of iron or steel,5260,11620,7586,23483,34975,16584.8
'74,Copper and articles thereof,206387,54768,62618,57559,123037,100873.8
'75,Nickel and articles thereof,0,79,27,3,5727,1167.2
'76,Aluminium and articles thereof,1583,2117,2926,2464,7679,3353.8
'78,Lead and articles thereof,6610,9959,15708,20847,21739,14972.6
'79,Zinc and articles thereof,561,153,1,0,,178.75
'80,Tin and articles thereof,49,1038,7141,12697,1334,4451.8
'81,Other base metals; cermets; articles thereof,515,697,465,3,40,344
'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",741,807,619,919,707,758.6
'83,Miscellaneous articles of base metal,70,7,22,31,39,33.8
'84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",11174,9015,6088,7045,7076,8079.6
'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",282698,270926,245318,206458,982698,397619.6
'86,"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...",4,0,2696,3,281,596.8
'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",4833,5751,4112,8160,3138,5198.8
'88,"Aircraft, spacecraft, and parts thereof",2170,1448,9342,3456,1859,3655
'89,"Ships, boats and floating structures",0,0,0,0,14,2.8
'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",26492,28396,33835,34972,257928,76324.6
'91,Clocks and watches and parts thereof,0,9,10,48,35,20.4
'92,Musical instruments; parts and accessories of such articles,8,3,1,1,8,4.2
'93,Arms and ammunition; parts and accessories thereof,0,0,0,0,,0
'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",23075,37923,33010,10425,86663,38219.2
'95,"Toys, games and sports requisites; parts and accessories thereof",3513,8134,10549,10120,27857,12034.6
'96,Miscellaneous manufactured articles,200,564,264,392,348,353.6
'97,"Works of art, collectors' pieces and antiques",2,4,27,4,142,35.8
'99,Commodities not elsewhere specified,0,0,0,0,403621,80724.2
