Code,Product label,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024,
'67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ...,6546,10778,14945,19704,23196,15033.8
'68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",256986,300637,372698,320755,352920,320799.2
'69,Ceramic products,652148,1015321,1001254,884308,811617,872929.6
'70,Glass and glassware,249760,301928,376312,349603,364798,328480.2
'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",321650,270546,275307,250407,343071,292196.2
'72,Iron and steel,3264910,4885351,5230253,4151867,4424039,4391284
'73,Articles of iron or steel,1730387,2341890,2593643,2521939,2919080,2421387.8
'74,Copper and articles thereof,610132,1113351,1058577,992815,1223164,999607.8
'75,Nickel and articles thereof,27724,33618,45482,39856,40003,37336.6
'76,Aluminium and articles thereof,343379,508863,553537,544959,576974,505542.4
'78,Lead and articles thereof,85185,133264,115667,123020,139484,119324
'79,Zinc and articles thereof,18340,31199,29722,17054,22196,23702.2
'80,Tin and articles thereof,32694,75552,70027,51660,56501,57286.8
'81,Other base metals; cermets; articles thereof,42253,54734,51285,45160,67185,52123.4
'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",186775,235311,220862,254492,265225,232533
'83,Miscellaneous articles of base metal,253634,345507,358785,366505,385875,342061.2
'84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",9225698,11767687,11840307,11073076,11065233,10994400.2
'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",25917762,31097952,32541861,27145399,27758943,28892383.4
'86,"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...",83694,217060,103441,35532,259716,139888.6
'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",5162779,7005377,8780582,10162886,9643023,8150929.4
'88,"Aircraft, spacecraft, and parts thereof",937754,1093475,1424997,1785595,1667334,1381831
'89,"Ships, boats and floating structures",227036,359289,1159962,1064332,294173,620958.4
'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",1951083,2649128,3041921,2925308,2781275,2669743
'91,Clocks and watches and parts thereof,145549,184215,210193,201350,191185,186498.4
'92,Musical instruments; parts and accessories of such articles,15586,17064,17286,24502,20030,18893.6
'93,Arms and ammunition; parts and accessories thereof,134875,260984,232202,151206,171162,190085.8
'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",668855,834162,870643,1127811,1253207,950935.6
'95,"Toys, games and sports requisites; parts and accessories thereof",250297,324770,380265,591318,599024,429134.8
'96,Miscellaneous manufactured articles,482703,582039,664684,658304,685979,614741.8
'97,"Works of art, collectors' pieces and antiques",1568,1440,1166,1804,861,1367.8
'99,Commodities not elsewhere specified,0,0,0,0,0,0
